#Search for direct top-squark pair production in final states with two leptons in pp collisions at \sqrt{s}=8 TeV with the ATLAS detector

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

Cut       Sum_W        Sum_W2       Acc    N_Norm       
DFH1600   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFH1601   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFH16010  0            0            0      0            
DFH16011  0            0            0      0            
DFH1602   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
DFH1603   0            0            0      0            
DFH1604   0            0            0      0            
DFH1605   0            0            0      0            
DFH1606   0            0            0      0            
DFH1607   0            0            0      0            
DFH1608   0            0            0      0            
DFH1609   0            0            0      0            
DFM1000   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM1001   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM10010  0            0            0      0            
DFM10011  0            0            0      0            
DFM1002   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
DFM1003   0            0            0      0            
DFM1004   0            0            0      0            
DFM1005   0            0            0      0            
DFM1006   0            0            0      0            
DFM1007   0            0            0      0            
DFM1008   0            0            0      0            
DFM1009   0            0            0      0            
DFM1100   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM1101   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM11010  0            0            0      0            
DFM11011  0            0            0      0            
DFM1102   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
DFM1103   0            0            0      0            
DFM1104   0            0            0      0            
DFM1105   0            0            0      0            
DFM1106   0            0            0      0            
DFM1107   0            0            0      0            
DFM1108   0            0            0      0            
DFM1109   0            0            0      0            
DFM1200   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM1201   2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM12010  0            0            0      0            
DFM12011  0            0            0      0            
DFM1202   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
DFM1203   0            0            0      0            
DFM1204   0            0            0      0            
DFM1205   0            0            0      0            
DFM1206   0            0            0      0            
DFM1207   0            0            0      0            
DFM1208   0            0            0      0            
DFM1209   0            0            0      0            
DFM900    2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM901    2.61412e-06  6.83362e-15  1      5.30666e-05  
DFM9010   0            0            0      0            
DFM9011   0            0            0      0            
DFM902    1.96843e-06  5.14572e-15  0.753  3.99592e-05  
DFM903    0            0            0      0            
DFM904    0            0            0      0            
DFM905    0            0            0      0            
DFM906    0            0            0      0            
DFM907    0            0            0      0            
DFM908    0            0            0      0            
DFM909    0            0            0      0            
SFH1600   2.61412e-06  6.83362e-15  1      5.30666e-05  
SFH1601   2.61412e-06  6.83362e-15  1      5.30666e-05  
SFH16010  0            0            0      0            
SFH16011  0            0            0      0            
SFH1602   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
SFH1603   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
SFH1604   1.90047e-06  4.96804e-15  0.727  3.85794e-05  
SFH1605   1.90047e-06  4.96804e-15  0.727  3.85794e-05  
SFH1606   1.90047e-06  4.96804e-15  0.727  3.85794e-05  
SFH1607   1.87694e-06  4.90654e-15  0.718  3.81018e-05  
SFH1608   1.04565e-08  2.73345e-17  0.004  2.12267e-07  
SFH1609   0            0            0      0            
SFM1000   2.61412e-06  6.83362e-15  1      5.30666e-05  
SFM1001   2.61412e-06  6.83362e-15  1      5.30666e-05  
SFM10010  1.88217e-07  4.92021e-16  0.072  3.8208e-06   
SFM10011  0            0            0      0            
SFM1002   1.96843e-06  5.14572e-15  0.753  3.99592e-05  
