# ATLAS
# arXiv:1501.07110
# an isolated lepton, 125GeV Higgs and missing Et
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.61412e-06 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   2.61412e-06
 SumOfWeights2:  6.83362e-15
 NormEvents:     5.30666e-05

SR                 Sum_W  Sum_W2  Acc  N_Norm  
SRee-1             0      0       0    0       
SRee-2             0      0       0    0       
SRem-1             0      0       0    0       
SRem-2             0      0       0    0       
SRlbb-onHiggs-1    0      0       0    0       
SRlbb-onHiggs-2    0      0       0    0       
SRlbb-sidebands-1  0      0       0    0       
SRlbb-sidebands-2  0      0       0    0       
SRlrr-1            0      0       0    0       
SRlrr-2            0      0       0    0       
SRmm-1             0      0       0    0       
SRmm-2             0      0       0    0       
