#Search for supersymmetry at \sqrt{s}=8 TeV in final states with jets and two same-sign leptons or three leptons with the ATLAS detector

Inputfile:
XSect:           1.81756 fb
 Error:          0 fb
MCEvents:        1000
 SumOfWeights:   1.81756
 SumOfWeights2:  0.00330353
 NormEvents:     36.8965

Cut        Sum_W       Sum_W2       Acc    N_Norm     
SR0b0      1.81756     0.00330353   1      36.8965    
SR0b1      1.77212     0.00322094   0.975  35.9741    
SR0b2      1.77212     0.00322094   0.975  35.9741    
SR0b3      1.77212     0.00322094   0.975  35.9741    
SR0b4      0.0727025   0.000132141  0.04   1.47586    
SR0b5      0           0            0      0          
SR0b6      0           0            0      0          
SR0b7      0           0            0      0          
SR0b8      0           0            0      0          
SR0b9      0           0            0      0          
SR1b0      1.81756     0.00330353   1      36.8965    
SR1b1      1.77212     0.00322094   0.975  35.9741    
SR1b2      1.77212     0.00322094   0.975  35.9741    
SR1b3      1.77212     0.00322094   0.975  35.9741    
SR1b4      0.0727025   0.000132141  0.04   1.47586    
SR1b5      0           0            0      0          
SR1b6      0           0            0      0          
SR1b7      0           0            0      0          
SR1b8      0           0            0      0          
SR1b9      0           0            0      0          
SR3Lhigh0  1.81756     0.00330353   1      36.8965    
SR3Lhigh1  1.77212     0.00322094   0.975  35.9741    
SR3Lhigh2  1.77212     0.00322094   0.975  35.9741    
SR3Lhigh3  1.77212     0.00322094   0.975  35.9741    
SR3Lhigh4  1.54856     0.00281461   0.852  31.4358    
SR3Lhigh5  0.00181756  3.30353e-06  0.001  0.0368965  
SR3Lhigh6  0           0            0      0          
SR3Lhigh7  0           0            0      0          
SR3Lhigh8  0           0            0      0          
SR3Lhigh9  0           0            0      0          
SR3Llow0   1.81756     0.00330353   1      36.8965    
SR3Llow1   1.77212     0.00322094   0.975  35.9741    
SR3Llow2   1.77212     0.00322094   0.975  35.9741    
SR3Llow3   1.77212     0.00322094   0.975  35.9741    
SR3Llow4   1.54856     0.00281461   0.852  31.4358    
SR3Llow5   0.00181756  3.30353e-06  0.001  0.0368965  
SR3Llow6   0.00181756  3.30353e-06  0.001  0.0368965  
SR3Llow7   0           0            0      0          
SR3Llow8   0           0            0      0          
SR3Llow9   0           0            0      0          
SR3b0      1.81756     0.00330353   1      36.8965    
SR3b1      1.77212     0.00322094   0.975  35.9741    
SR3b2      1.77212     0.00322094   0.975  35.9741    
SR3b3      1.77212     0.00322094   0.975  35.9741    
SR3b4      1.62127     0.00294675   0.892  32.9117    
SR3b5      0           0            0      0          
SR3b6      0           0            0      0          
SR3b7      0           0            0      0          
SR3b8      0           0            0      0          
SR3b9      0           0            0      0          
