analysis             sr                      o       b       db             s               ds              s95obs         s95exp         robscons         rexpcons         
atlas_1308_1841      SR02_9j50_b.1b          8.0     6.1     1.7            0.0             28.6511272088   9.0            7.0            0                0                
atlas_1308_2631      SRA3                    14.0    15.8    2.8            0.0             28.4257064756   9.0            10.2           0                0                
atlas_1402_7029      SR0taua17               60.0    69.0    9.0            1.43896477107   0.230419060657  18.0           22.0           0.0589487506439  0.0482307959814  
atlas_1403_4853      L110                    8.0     9.3     3.5            2.12266806e-07  20.300017606    9.0            9.4            0                0                
atlas_1403_5222      SR2B                    1.0     2.4     0.9            0.0             28.7085380277   3.4            4.5            0                0                
atlas_1404_2500      SR1b                    10.0    4.7     2.1            0.0             28.7085380277   13.3           8.0            0                0                
atlas_1405_7875      SR05_b.6jm              39.0    33.0    6.0            0.0             28.5937163899   25.0           20.0           0                0                
atlas_1407_0583      bCd_high1               16.0    11.0    1.5            0.0             28.7085380277   13.2           8.5            0                0                
atlas_1407_0608      M2                      8606.0  8620.0  270.0          0.0             28.7085380277   575.0          590.0          0                0                
atlas_1411_1559      SRTotal                 521.0   557.0   45.0           0.0             28.7085380277   70.0           91.0           0                0                
atlas_1501_07110     SRmm-1                  6.0     3.8     0.9            0.147586203     20.3001203516   7.9            6.0            0                0                
atlas_1502_01518     SR9                     126.0   97.0    14.0           0.0             28.7085380277   58.0           36.0           0                0                
atlas_1503_03290     SR-Z                    29.0    10.6    3.2            5.30666e-08     20.300017606    29.6           12.0           0                0                
atlas_1506_08616     SRinB                   20.0    14.1    2.8            0.0             28.7085380277   16.1           11.2           0                0                
atlas_conf_2012_104  el                      10.0    9.0     2.8            0.0             8.20245997394   9.9            9.3            0                0                
atlas_conf_2013_024  SR1                     15.0    17.5    3.2            0.0             28.5565101264   10.0           10.6           0                0                
atlas_conf_2013_049  SR_mT2_110_elmu         5.0     4.4     2.0            0.0             28.7085380277   7.105          6.699          0                0                
atlas_conf_2013_061  SR0L7JA                 22.0    22.5    6.9            0.0             28.4257064756   15.3           14.6           0                0                
atlas_conf_2013_089  SR1OF                   87.0    103.0   15.0           0.0             28.7085380277   24.0           31.0           0                0                
atlas_conf_2015_004  M1                      539.0   578.0   48.4148737476  0.0             28.7085380277   73.0           96.0           0                0                
cms_1303_2985        4j_0b_275               1009.0  1010.0  29.4278779391  0.0             16.5463162718   86.7364073547  87.6705898919  0                0                
cms_1408_3583        500                     934.0   1040.0  100.0          0.0             27.8600433714   121.0          169.0          0                0                
cms_1502_06031       SR01_GE2jets_c.highMET  7.0     12.8    4.3            5.07139e-08     19.4000198068   7.6            7.6            0                0                
cms_1504_03198       SR1                     18.0    16.4    3.64005494464  0.0             27.8600433714   12.9           11.4           0                0                
cms_exo_14_014       SR_ee_500               4.0     2.4     1.3            0.0             27.8600433714   7.1            5.9            0                0                
cms_sus_13_016       SR1                     1.0     1.2     1.04861813831  0.0             27.5771847698   4.0            3.9            0                0                
